% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 26 2019, 14:44"
% Table,"Table 8 {tbl8} - Surface Average 1 {av1} (p, comp1.j_ck, c, dl.w)"
% Soil switch index,dp_bldg (Pa),Pressure (Pa),Probe variable j_ck (mol/(m^2*s)),Concentration (mol/m^3),"Darcy's velocity field, Z component (m/s)"
1,-15,-15.000000000000002,8.825894796062761E-9,1.5921510935801379E-6,4.311817837629625E-6
1,-14,-13.999999999999977,8.492373284624763E-9,1.5322768301736336E-6,4.024343485311579E-6
1,-13,-13,8.13084885319897E-9,1.4673307926066342E-6,3.73687196616684E-6
1,-12,-11.999999999999954,7.738114082633778E-9,1.3967018489296994E-6,3.4494032801161515E-6
1,-11,-10.999999999999995,7.310756050041041E-9,1.3197822970174107E-6,3.1619374270802713E-6
1,-10,-9.999999999999982,6.845424264500819E-9,1.235992417107402E-6,2.8744744069799425E-6
1,-9,-9,6.339027593713707E-9,1.1447870321236014E-6,2.587014219735927E-6
1,-8,-7.999999999999999,5.788927831697191E-9,1.0456951927659384E-6,2.2995568652689703E-6
1,-7,-6.9999999999999885,5.193354765278942E-9,9.383943967575962E-7,2.0121023434998683E-6
1,-6,-5.999999999999977,4.553016664042956E-9,8.230124131940364E-7,1.7246506543493474E-6
1,-5,-4.999999999999991,3.872679595225824E-9,7.003180205304095E-7,1.4372017977381965E-6
1,-4,-3.9999999999999996,3.1635294254492537E-9,5.723503947569078E-7,1.1497557735871829E-6
1,-3,-2.9999999999999885,2.4480966599756113E-9,4.4315575820251655E-7,8.623125818170766E-7
1,-2,-1.9999999999999998,1.7654340117216847E-9,3.198300620105447E-7,5.748722223486575E-7
1,-1,-0.9999999999999999,1.1691671274552111E-9,2.1179828353445497E-7,2.87434695102704E-7
1,0,0,7.022337515115485E-10,1.271944360974829E-7,0
1,1,0.9999999999999999,3.815628783275506E-10,6.908488318059719E-8,-2.8743186303866876E-7
1,2,1.9999999999999998,1.889088576771573E-10,3.4210395655772766E-8,-5.748608940925124E-7
1,3,2.9999999999999885,8.651679882054381E-11,1.567744871522336E-8,-8.622870932407417E-7
1,4,3.9999999999999996,3.7298485843483225E-11,6.7599362965539906E-9,-1.1497104605625593E-6
1,5,4.999999999999991,1.5343989245660187E-11,2.781643686421909E-9,-1.437130996137172E-6
1,6,5.999999999999977,6.083257176048991E-12,1.1029041105730365E-9,-1.7245487000437639E-6
1,7,6.9999999999999885,2.3342881185446957E-12,4.2333004439361413E-10,-2.011963572361553E-6
1,8,7.999999999999999,8.794834273327048E-13,1.5953139686538444E-10,-2.2993756131697157E-6
1,9,9,3.2651377218144325E-13,5.923874144835466E-11,-2.5867848225474443E-6
1,10,9.999999999999982,1.193001106162469E-13,2.1648572980042375E-11,-2.8741912005739303E-6
1,11,10.999999999999995,4.292984621171487E-14,7.791743453829898E-12,-3.1615947473283634E-6
1,12,11.999999999999954,1.5212185839248298E-14,2.7615579491761195E-12,-3.4489954628899116E-6
1,13,13,5.3031981630490154E-15,9.629108174379319E-13,-3.7363933473377582E-6
1,14,13.999999999999977,1.81600494577534E-15,3.297952127786531E-13,-4.023788400751087E-6
1,15,15.000000000000002,6.096244532513723E-16,1.1072644407763408E-13,-4.311180623209049E-6
