Time,AirExchangeRate,AttenuationGroundwater,ConstAe,EntryRate,ExitRate,IndoorConcentration,IndoorOutdoorPressure,Pathway,logIndoorConcentration,logAttenuationGroundwater
0.0,0.4923094940689865,1.1912852114278869e-05,No,93162.80908941943,93162.80908941924,630.7875446359255,-0.299324683,No,2.7998831092775176,-4.923984249499195
0.023,0.4872908020782872,1.203557408330748e-05,No,93163.03705941199,93163.03705941208,637.2856937587253,-0.29940168709029064,No,2.8043341692387234,-4.919533189537989
0.046,0.4824200676235048,1.2157100764771006e-05,No,93163.02121551508,93163.11369714313,643.7205522017548,-0.29963059669847586,No,2.8086973751617874,-4.915169983614925
0.092,0.4731165280219484,1.239609546308397e-05,No,93163.0611165,93162.60971969644,656.3753621065248,-0.30053151649240994,No,2.817152270885016,-4.906715087891697
0.184,0.4562195629526712,1.285525383744778e-05,No,93162.93760054263,93162.93760054275,680.6878760860122,-0.3040174465576905,No,2.8329480153382036,-4.890919343438509
0.368,0.4289332645638783,1.3673033263561865e-05,No,93162.94565210392,93162.94565210346,723.9894357212553,-0.3170191739351687,No,2.8597322291233382,-4.864135129653374
0.736,0.3977285965006849,1.4745805443983814e-05,No,93163.099884476,93163.09988447573,780.7929050458682,-0.3614901403759267,No,2.892535858304347,-4.831331500472365
1.472,0.4564641717795875,1.2848435992218275e-05,No,93163.45237920768,93163.45237920783,680.3268700220763,-0.6033559760505736,No,2.832717624086931,-4.891149734689781
2.944,0.4938745789610526,1.1875247820849754e-05,No,93163.96584329754,93163.96584329744,628.7963909061241,-0.3038032495140178,No,2.798510040324524,-4.925357318452189
5.2440000000000015,0.4195559473207889,1.3974168304689145e-05,No,93164.48905531154,93133.18702429457,739.9345873419019,-0.4719115710224248,No,2.8691933283632496,-4.854674030413463
7.544,0.5132113461143899,1.018646270489727e-05,No,93164.8874847314,83044.00046176347,539.3749319229702,0.13784394973952704,No,2.731890758244953,-4.99197660053176
9.844,0.5029425913743472,1.293432339869255e-05,No,93165.21623738711,103335.78526662664,684.8746227957482,-0.04776389099564343,No,2.8356110742490883,-4.888256284527625
12.144,0.4815204001413447,1.1518220494425126e-05,No,93165.52562648238,88102.59343517429,609.8917332772942,0.31595257622722106,No,2.785252746792058,-4.938614611984654
14.444,0.5725737188663039,1.0301620189802007e-05,No,93165.84171779089,93696.97228607758,545.4725403254483,-0.030826988514471625,No,2.736772892623167,-4.987094466153545
16.744,0.4226820114974961,1.4085173779409265e-05,No,93166.18822605509,94572.43879467096,745.8123460992629,0.19298802702948714,No,2.8726295683500442,-4.851237790426668
19.044,0.5346715541958789,8.759934029387102e-06,No,93166.57907540306,74400.61547505017,463.839996044832,-0.030852659136124057,No,2.666368194307689,-5.057499164469023
21.344,0.4330674347007576,1.4244244529121747e-05,No,93167.02830183397,97990.40698396332,754.2351693385665,-0.6423693690950572,No,2.877506779320679,-4.846360579456033
23.644000000000002,0.4681037411043225,1.1407338349720375e-05,No,93167.54871489873,84823.27740933839,604.0205048652133,-0.2467967775,No,2.7810516819963964,-4.942815676780317
0.0,0.5,1.1729620394598567e-05,Yes,93162.80908941926,93162.80908941916,621.0853939294611,-0.299324683,No,2.793151316058584,-4.930716042718128
0.023,0.5,1.1729649097056602e-05,Yes,93163.03705942404,93163.03705942401,621.0869137294935,-0.29940168709029064,No,2.79315237877873,-4.930714979997983
0.046,0.5,1.1729647102237128e-05,Yes,93163.0212155196,93163.02121551947,621.0868081034633,-0.29963059669847586,No,2.793152304919814,-4.930715053856899
0.092,0.5,1.1729652125952443e-05,Yes,93163.0611165068,93163.06111650645,621.0870741100431,-0.30053151649240994,No,2.7931524909246743,-4.930714867852038
0.184,0.5,1.1729636574732408e-05,Yes,93162.93760054397,93162.93760054477,621.0862506702986,-0.3040174465576905,No,2.7931519151349193,-4.930715443641794
0.368,0.5,1.1729637588460392e-05,Yes,93162.94565210547,93162.94565210516,621.0863043473678,-0.3170191739351687,No,2.7931519526686013,-4.930715406108111
0.736,0.5,1.1729657007015907e-05,Yes,93163.09988447774,93163.0998844775,621.0873325631834,-0.3614901403759267,No,2.793152671647723,-4.93071468712899
1.472,0.5,1.1729701387702165e-05,Yes,93163.45237920957,93163.45237920982,621.0896825280653,-0.6033559760505736,No,2.7931543148543967,-4.9307130439223155
2.944,0.5,1.172976603516094e-05,Yes,93163.96584329949,93163.96584329962,621.0931056219978,-0.3038032495140178,No,2.7931567084325724,-4.93071065034414
5.2440000000000015,0.5,1.1729833599883964e-05,Yes,93164.50247783557,93164.50247783515,621.0966831855678,-0.4719115710224248,No,2.7931592100086298,-4.930708148768082
7.544,0.5,1.1729882411796187e-05,Yes,93164.89016769292,93164.89016769273,621.0992677846182,0.13784394973952704,No,2.7931610172550703,-4.930706341521642
9.844,0.5,1.1729923824820562e-05,Yes,93165.21909169515,93165.21909169485,621.101460611299,-0.04776389099564343,No,2.793162550554006,-4.930704808222707
12.144,0.5,1.1729962157745642e-05,Yes,93165.52355192973,93165.52355192977,621.1034903461983,0.31595257622722106,No,2.7931639698088007,-4.9307033889679115
14.444,0.5,1.1730001383840257e-05,Yes,93165.83510618651,93165.83510618653,621.1055673745767,-0.030826988514471625,No,2.7931654221278897,-4.9307019366488225
16.744,0.5,1.1730043530230213e-05,Yes,93166.1698549632,93166.16985496346,621.1077990330898,0.19298802702948714,No,2.7931669825634864,-4.930700376213226
19.044,0.5,1.1730090449617007e-05,Yes,93166.54251338977,93166.54251338953,621.1102834225969,-0.030852659136124057,No,2.7931687197087895,-4.930698639067923
21.344,0.5,1.1730144563838291e-05,Yes,93166.97231697204,93166.972316972,621.1131487798134,-0.6423693690950572,No,2.793170723227312,-4.9306966355494
23.644000000000002,0.5,1.1730207096632753e-05,Yes,93167.46898528676,93167.46898528658,621.1164599019106,-0.2467967775,No,2.79317303842258,-4.9306943203541325
0.0,0.4923094940689865,4.5708962980621944e-05,No,357460.61069077544,357460.61069077475,2420.297360347638,-0.299324683,Yes,3.383868727147593,-4.339998631629119
0.023,0.4872908020782872,4.615852800227207e-05,No,357296.39458023023,357296.51324632386,2444.1019046700667,-0.29940168709029064,Yes,3.388119309472831,-4.335748049303882
0.046,0.4824200676235048,4.6688904353702396e-05,No,357797.4140215814,357789.55763067974,2472.185422642282,-0.29963059669847586,Yes,3.3930810412591503,-4.330786317517562
0.092,0.4731165280219484,4.772560137842105e-05,No,358758.8329020305,358680.81107448065,2527.0787063396288,-0.30053151649240994,Yes,3.402618768313539,-4.321248590463174
0.184,0.4562195629526712,4.971172962570513e-05,No,360264.4570958378,360264.43535821256,2632.244534675123,-0.3040174465576905,Yes,3.420326232634513,-4.303541126142199
0.368,0.4289332645638783,5.408932751225939e-05,No,368545.6731228327,368544.4906224663,2864.039086959811,-0.3170191739351687,Yes,3.456978940708138,-4.266888418068574
0.5519999999999999,0.409689856535564,5.867548599994032e-05,No,381611.4002493258,381856.7926240751,3106.8769585294594,-0.3367150201890442,Yes,3.4923240542560032,-4.231543304520709
0.736,0.3977285965006849,6.316251463312561e-05,No,398819.4941937362,399056.9170381494,3344.4658874514885,-0.3614901403759267,Yes,3.524326770637842,-4.199540588138871
1.104,0.39603062813858536,7.094480662426419e-05,No,446311.6341892465,446311.41782336135,3756.539571371914,-0.42814298826479497,Yes,3.574787968056103,-4.149079390720609
1.2859052663594424,0.4198012130767909,7.509175718355819e-05,No,500688.13606041844,500754.1645906189,3976.1213084681267,-0.5041535393534703,Yes,3.599459625925135,-4.124407732851578
1.4678105327188848,0.4555797442275068,7.930710926804834e-05,No,573537.5682377275,573938.2116145942,4199.324917951734,-0.6010556355207234,Yes,3.6231794789756995,-4.100687879801013
1.6497157990783275,0.4931636882678735,8.275085424870422e-05,No,645943.0176618545,648264.4277170822,4381.671800114111,-0.6965019365689625,Yes,3.641639844530614,-4.082227514246099
1.772978459125109,0.5144816132535042,8.463869165086535e-05,No,691720.7077337204,691715.3499630481,4481.633111490901,-0.7490136624535864,Yes,3.6514363001738572,-4.072431058602855
1.8962411191718904,0.5287694034208332,8.591404311900559e-05,No,721301.6430905972,721637.4915802832,4549.163188538675,-0.7836425288067098,Yes,3.6579315162123853,-4.065935842564327
2.019503779218672,0.5329807309359549,8.656116404712254e-05,No,732508.6162404084,732863.6979233781,4583.4283516930245,-0.7932671206817808,Yes,3.6611904468331393,-4.062676911943573
2.1427664392654533,0.5312628601240672,8.486172933062463e-05,No,715999.6906798569,716159.8131268154,4493.44299455056,-0.7664649503167019,Yes,3.652579236444114,-4.071288122332599
2.2660290993122345,0.5273871598201586,8.03419759671259e-05,No,672280.2800840981,673070.6827021652,4254.121285595231,-0.7074548839235595,Yes,3.628809867539881,-4.095057491236831
2.4086628695201755,0.5209844840599035,7.274041702714502e-05,No,601935.2161796528,601989.8785980432,3851.617447458223,-0.6135700346707316,Yes,3.585643145350626,-4.138224213426087
2.5512966397281165,0.5133973097536626,6.402497154298923e-05,No,522052.81527777424,522145.568201332,3390.133127446441,-0.5086586489281406,Yes,3.530216752887496,-4.193650605889216
2.693930409936057,0.5055401587117184,5.601057216494116e-05,No,448390.2216784735,449794.64750673994,2965.7693179309017,-0.4099399721834445,Yes,3.4721373679176457,-4.251729990859067
2.774785614536098,0.5013137638399808,5.233906604509237e-05,No,416317.1398010903,416796.64143954,2771.3624447288685,-0.3632724214737059,Yes,3.4426933274611318,-4.28117403131558
2.8556408191361387,0.4974610809224662,4.931514403665177e-05,No,389483.09373728797,389697.8669250193,2611.2452603151974,-0.3272648653842499,Yes,3.416847664698916,-4.3070196940777965
2.93649602373618,0.4941487007242353,4.77593976447378e-05,No,373641.10232911626,374891.0842150128,2528.868224386466,-0.30505398939081896,Yes,3.4029261994856257,-4.3209411592910865
2.9961116587307672,0.4921498411831397,4.727272123194041e-05,No,369565.9993607157,369569.8773155251,2503.0986255938533,-0.2993470541617643,Yes,3.398477961756582,-4.32538939702013
3.049765730225896,0.4906272349633975,4.732011269914104e-05,No,368800.7074813182,368795.85922516364,2505.608011838677,-0.299324683,Yes,3.3989131290638985,-4.324954229712814
