Time,IndoorConcentration,logIndoorConcentration,IndoorOutdoorPressure
0.27536,15.01393,1.176494387,
0.99485,15.36272,1.186468115,
1.71434,14.66515,1.166286509,
2.43382,17.36824,1.239755812,
2.90492,24.31904,1.385946427,
3.63297,25.6519,1.409119538,
4.35246,21.64086,1.335274515,
5.07195,21.37927,1.329992872,
5.73148,18.30996,1.262687396,
6.14261,11.01535,1.041998301,
6.87067,13.09561,1.117125733,
7.59016,12.31084,1.090287687,
8.30964,12.39804,1.093353033,
8.96918,15.38016,1.186960853,
9.62871,19.37375,1.287213691,
10.30822,19.54815,1.291105663,
10.82785,26.17508,1.417888018,
11.15762,31.23247,1.494606331,
11.20758,39.69052,1.598686789,
11.24755,66.72141,1.824265216,
11.24755,60.44327,1.781347952,
11.24755,54.16513,1.73371979,
11.24755,47.88699,1.68021754,
11.30751,81.37041,1.910466504,
11.30751,73.74073,1.867707433,
11.36747,123.57348,2.091925277,
11.36747,88.52052,1.947043956,
11.36747,93.9267,1.972789064,
11.36747,100.20484,2.000888699,
11.36747,106.48299,2.027280237,
11.45312,115.35211,2.062025543,
11.48738,139.61763,2.144940262,
11.48738,133.33948,2.124958757,
11.48738,127.06134,2.104013431,
11.54734,157.05691,2.196057049,
11.57304,148.50668,2.171745989,
11.6073,174.14741,2.24091702,
11.6073,167.86927,2.224971202,
11.6073,161.59113,2.208417518,
11.6073,194.72577,2.28942343,
11.66726,180.07677,2.255457692,
11.70723,187.05248,2.271963471,
11.72721,197.51606,2.295602414,
11.72721,210.07234,2.322368873,
11.72721,203.7942,2.30919182,
11.78717,218.87918,2.340204453,
11.84713,239.37034,2.379070337,
11.84713,233.0922,2.367527741,
11.84713,226.81405,2.355669953,
11.90709,262.2158,2.418658857,
11.98417,269.914,2.431225411,
12.05698,255.67607,2.407690082,
12.14691,277.0392,2.442541224,
12.14691,289.42109,2.461530175,
12.14691,283.14295,2.452005753,
12.18289,297.68731,2.473760322,
12.25484,305.22108,2.484614525,
12.26683,329.70584,2.51812664,
12.26683,323.4277,2.509777212,
12.26683,317.14955,2.5012641,
12.26683,310.87141,2.492580783,
12.26683,370.77536,2.569110865,
12.26683,364.49721,2.561694208,
12.28682,337.37912,2.528118201,
12.29253,379.33306,2.579020694,
12.32679,388.65062,2.589559365,
12.32679,345.61047,2.538586891,
12.32679,358.16675,2.554085266,
12.32679,351.88861,2.54640521,
12.56662,267.97077,2.428087424,
12.56662,260.99505,2.416632271,
12.62657,282.09659,2.450397836,
12.62657,275.81845,2.440623314,
12.62657,288.37473,2.459957201,
12.63857,242.54429,2.384791055,
12.64656,296.5712,2.472128974,
12.64656,250.1827,2.398257275,
12.68653,306.68598,2.486693923,
12.68653,256.46084,2.40902106,
12.8664,228.47079,2.358830683,
12.89638,221.01549,2.344422713,
13.10623,214.47576,2.331378215,
13.16619,206.88967,2.315738807,
13.35805,198.59729,2.297973318,
13.46598,190.40955,2.279688727,
13.58589,183.21584,2.262963018,
13.70581,175.89134,2.245244458,
13.9906,169.28621,2.228621582,
14.39198,164.14889,2.21523795,
14.55187,179.49546,2.254053468,
14.64514,208.09589,2.318263503,
14.66512,200.48073,2.302072635,
14.66512,194.20259,2.288255018,
14.66512,187.92445,2.273983288,
14.66512,235.18491,2.371409453,
14.66512,227.68602,2.357336366,
14.7011,221.72178,2.345808356,
14.74507,172.75227,2.237423763,
14.93493,157.4493,2.197140734,
14.96491,183.21584,2.262963018,
